(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotRed (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotBase1Hostage (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotPlayer (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotPlayer (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotRed (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotRed (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotPlayer (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotCivilian (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotCivilian (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotBlue (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotPlayer (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotBase2Hostage (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotCivilian (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotBlue (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotBlue (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotPlayer (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotPlayer (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotRed (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotCivilian (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotCivilian (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotBase4Hostage (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotCivilian (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
	Mobile/Particles/VertexLit Blended (24 verts): 
		SA_FX_Lightray 1 (12 verts)	-1	True	False	False	1	[Lightray (UnityEngine.Material)] 	
		SA_FX_Lightray 2 (12 verts)	-1	True	False	False	1	[Lightray (UnityEngine.Material)] 	
	Particles/Additive (168 verts): 
		GameObject (24 verts)	-1	False	False	False	1	[lightbeamWeapon (UnityEngine.Material)] 	
		GameObject (24 verts)	-1	False	False	False	1	[lightbeamPlatform (UnityEngine.Material)] 	
		GameObject (24 verts)	-1	False	False	False	1	[lightbeamLevelUp (UnityEngine.Material)] 	
		GameObject (24 verts)	-1	False	False	False	1	[lightbeamJumpPad (UnityEngine.Material)] 	
		GameObject (24 verts)	-1	False	False	False	1	[lightbeamGreen (UnityEngine.Material)] 	
		GameObject (24 verts)	-1	False	False	False	1	[lightbeamRedTeam (UnityEngine.Material)] 	
		GameObject (24 verts)	-1	False	False	False	1	[lightbeamBlueTeam (UnityEngine.Material)] 	
	Particles/Alpha Blended (1680 verts): 
		Base4Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base1Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base1Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base3Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base1Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base3Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base3Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base0Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base4Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base3Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base4Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base4Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base4Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base2Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base1Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base2Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base2Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base2Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base1Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base0Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base1Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base2Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base3Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base4Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base3Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base3Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base2Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base0Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base4Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base0Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base1Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base2Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base0Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base1Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base2Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base4Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base4Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base2Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base3Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base0Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base4Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base2Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base3Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base4Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base1Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base1Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base1Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base0Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base0Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base2Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base1Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base4Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base3Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base3Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base0Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base2Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base3Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base0Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base2Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base3Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base0Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base0Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base1Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base0Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base4Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base2Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base0Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base4Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base1Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base3Node (24 verts)	-1	False	False	True	1	[Collider (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
	Particles/Alpha Blended (1488 verts): 
		SpawnSpotBase1Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		BASE1 (24 verts)	-1	False	False	False	1	[Trigger (UnityEngine.Material)] 	
		SpawnSpotBase4Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase2Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase3Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase4Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase0Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase0Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase4Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase0Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase0Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase1Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		BASE0 (24 verts)	-1	False	False	False	1	[Trigger (UnityEngine.Material)] 	
		SpawnSpotBase1Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase1Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase1Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase1Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase3Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase0Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		BASE2 (24 verts)	-1	False	False	False	1	[Trigger (UnityEngine.Material)] 	
		SpawnSpotBase3Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase4Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase2Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase0Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase2Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase1Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase0Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase2Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase0Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase1Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase2Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		HostageRescueZone (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		BASE4 (24 verts)	-1	False	False	False	1	[Trigger (UnityEngine.Material)] 	
		SpawnSpotBase4Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase3Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase2Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase0Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase2Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase1Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase3Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		BASE3 (24 verts)	-1	False	False	False	1	[Trigger (UnityEngine.Material)] 	
		SpawnSpotBase1Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase3Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase2Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase4Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		EndGameTrigger (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase3Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase2Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase4Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase2Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase3Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase0Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase1Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase4Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase3Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase4Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
		SpawnSpotBase3Enemy (24 verts)	-1	False	False	False	1	[Collider (UnityEngine.Material)] 	
